Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
CL0000045,C0016445,V0016445,10000,06-01-2025,1
CL0000046,C0016446,V0016446,10000,06-01-2025,1
CL0000047,C0016447,V0016447,10000,06-01-2025,1
CL0000048,C0016448,V0016448,10000,06-01-2025,1
CL0000049,C0016449,V0016449,10000,06-01-2025,1
CL0000050,C0016450,V0016450,10000,06-01-2025,1
CL0000051,C0016451,V0016451,10000,06-01-2025,1
CL0000052,C0016452,V0016452,10000,06-01-2025,1
CL0000053,C0016453,V0016453,10000,06-01-2025,1
CL0000054,C0016454,V0016454,10000,06-01-2025,1
CL0000055,C0016455,V0016455,10000,06-01-2025,1
CL0000056,C0016456,V0016456,10000,06-01-2025,1
CL0000057,C0016457,V0016457,10000,06-01-2025,1
CL0000058,C0016458,V0016458,10000,06-01-2025,1
CL0000059,C0016459,V0016459,10000,06-01-2025,1
CL0000060,C0016460,V0016460,10000,06-01-2025,1
CL0000061,C0016461,V0016461,10000,06-01-2025,1
CL0000062,C0016462,V0016462,10000,06-01-2025,1
CL0000063,C0016463,V0016463,10000,06-01-2025,1
CL0000064,C0016464,V0016464,10000,06-01-2025,1
CL0000065,C0016465,V0016465,10000,06-01-2025,1
CL0000066,C0016466,V0016466,10000,06-01-2025,1
CL0000067,C0016467,V0016467,10000,06-01-2025,1
CL0000068,C0016468,V0016468,10000,06-01-2025,1
CL0000069,C0016469,V0016469,10000,06-01-2025,1
CL0000070,C0016470,V0016470,10000,06-01-2025,1
CL0000071,C0016471,V0016471,10000,06-01-2025,1
CL0000072,C0016472,V0016472,10000,06-01-2025,1
CL0000073,C0016473,V0016473,10000,06-01-2025,1
CL0000074,C0016474,V0016474,10000,06-01-2025,1
CL0000075,C0016475,V0016475,10000,06-01-2025,1
CL0000076,C0016476,V0016476,10000,06-01-2025,1
CL0000077,C0016477,V0016477,10000,06-01-2025,1
CL0000078,C0016478,V0016478,10000,06-01-2025,1
CL0000079,C0016479,V0016479,10000,06-01-2025,1
CL0000080,C0016480,V0016480,10000,06-01-2025,1
CL0000081,C0016481,V0016481,10000,06-01-2025,1
CL0000082,C0016482,V0016482,10000,06-01-2025,1
CL0000083,C0016483,V0016483,10000,06-01-2025,1
CL0000084,C0016484,V0016484,10000,06-01-2025,1
CL0000085,C0016485,V0016485,10000,06-01-2025,1
CL0000086,C0016486,V0016486,10000,06-01-2025,1
CL0000087,C0016487,V0016487,10000,06-01-2025,1
CL0000088,C0016488,V0016488,10000,06-01-2025,1
CL0000089,C0016489,V0016489,10000,06-01-2025,1
CL0000090,C0016490,V0016490,10000,06-01-2025,1
CL0000091,C0016491,V0016491,10000,06-01-2025,1
CL0000092,C0016492,V0016492,10000,06-01-2025,1
CL0000093,C0016493,V0016493,10000,06-01-2025,1
CL0000094,C0016494,V0016494,10000,06-01-2025,1
CL0000095,C0016495,V0016495,10000,06-01-2025,1
CL0000096,C0016496,V0016496,10000,06-01-2025,1
CL0000097,C0016497,V0016497,10000,06-01-2025,1
CL0000098,C0016498,V0016498,10000,06-01-2025,1
CL0000099,C0016499,V0016499,10000,06-01-2025,1
CL0000100,C0016500,V0016500,10000,06-01-2025,1
CL0000101,C0016501,V0016501,10000,06-01-2025,1
CL0000102,C0016502,V0016502,10000,06-01-2025,1
CL0000103,C0016503,V0016503,10000,06-01-2025,1
CL0000104,C0016504,V0016504,10000,06-01-2025,1
CL0000105,C0016505,V0016505,10000,06-01-2025,1
CL0000106,C0016506,V0016506,10000,06-01-2025,1
CL0000107,C0016507,V0016507,10000,06-01-2025,1
CL0000108,C0016508,V0016508,10000,06-01-2025,1
CL0000109,C0016509,V0016509,10000,06-01-2025,1
CL0000110,C0016510,V0016510,10000,06-01-2025,1
CL0000111,C0016511,V0016511,10000,06-01-2025,1
CL0000112,C0016512,V0016512,10000,06-01-2025,1
CL0000113,C0016513,V0016513,10000,06-01-2025,1
CL0000114,C0016514,V0016514,10000,06-01-2025,1
CL0000115,C0016515,V0016515,10000,06-01-2025,1
CL0000116,C0016516,V0016516,10000,06-01-2025,1
CL0000117,C0016517,V0016517,10000,06-01-2025,1
CL0000118,C0016518,V0016518,10000,06-01-2025,1
CL0000119,C0016519,V0016519,10000,06-01-2025,1
CL0000120,C0016520,V0016520,10000,06-01-2025,1
CL0000121,C0016521,V0016521,10000,06-01-2025,1
CL0000122,C0016522,V0016522,10000,06-01-2025,1
CL0000123,C0016523,V0016523,10000,06-01-2025,1
CL0000124,C0016524,V0016524,10000,06-01-2025,1
CL0000125,C0016525,V0016525,10000,06-01-2025,1
CL0000126,C0016526,V0016526,10000,06-01-2025,1
CL0000127,C0016527,V0016527,10000,06-01-2025,1
CL0000128,C0016528,V0016528,10000,06-01-2025,1
CL0000129,C0016529,V0016529,10000,06-01-2025,1
CL0000130,C0016530,V0016530,10000,06-01-2025,1
CL0000131,C0016531,V0016531,10000,06-01-2025,1
CL0000132,C0016532,V0016532,10000,06-01-2025,1
CL0000133,C0016533,V0016533,10000,06-01-2025,1
CL0000134,C0016534,V0016534,10000,06-01-2025,1
CL0000135,C0016535,V0016535,10000,06-01-2025,1
CL0000136,C0016536,V0016536,10000,06-01-2025,1
CL0000137,C0016537,V0016537,10000,06-01-2025,1
CL0000138,C0016538,V0016538,10000,06-01-2025,1
CL0000139,C0016539,V0016539,10000,06-01-2025,1
CL0000140,C0016540,V0016540,10000,06-01-2025,1
CL0000141,C0016541,V0016541,10000,06-01-2025,1
CL0000142,C0016542,V0016542,10000,06-01-2025,1
CL0000143,C0016543,V0016543,10000,06-01-2025,1
CL0000144,C0016544,V0016544,10000,06-01-2025,1
CL0000145,C0016545,V0016545,10000,06-01-2025,1
CL0000146,C0016546,V0016546,10000,06-01-2025,1
CL0000147,C0016547,V0016547,10000,06-01-2025,1
CL0000148,C0016548,V0016548,10000,06-01-2025,1
CL0000149,C0016549,V0016549,10000,06-01-2025,1
CL0000150,C0016550,V0016550,10000,06-01-2025,1
CL0000151,C0016551,V0016551,10000,06-01-2025,1
CL0000152,C0016552,V0016552,10000,06-01-2025,1
CL0000153,C0016553,V0016553,10000,06-01-2025,1
CL0000154,C0016554,V0016554,10000,06-01-2025,1
CL0000155,C0016555,V0016555,10000,06-01-2025,1
CL0000156,C0016556,V0016556,10000,06-01-2025,1
CL0000157,C0016557,V0016557,10000,06-01-2025,1
CL0000158,C0016558,V0016558,10000,06-01-2025,1
CL0000159,C0016559,V0016559,10000,06-01-2025,1
CL0000160,C0016560,V0016560,10000,06-01-2025,1
CL0000161,C0016561,V0016561,10000,06-01-2025,1
CL0000162,C0016562,V0016562,10000,06-01-2025,1
CL0000163,C0016563,V0016563,10000,06-01-2025,1
CL0000164,C0016564,V0016564,10000,06-01-2025,1
CL0000165,C0016947,V0016947,10000,06-01-2025,1
CL0000166,C0016948,V0016948,10000,06-01-2025,1
CL0000167,C0016949,V0016949,10000,06-01-2025,1
CL0000168,C0016950,V0016950,10000,06-01-2025,1
CL0000169,C0016951,V0016951,10000,06-01-2025,1
CL0000170,C0016952,V0016952,10000,06-01-2025,1
CL0000171,C0016953,V0016953,10000,06-01-2025,1
CL0000172,C0016954,V0016954,10000,06-01-2025,1
CL0000173,C0016955,V0016955,10000,06-01-2025,1
CL0000174,C0016956,V0016956,10000,06-01-2025,1
CL0000175,C0016957,V0016957,10000,06-01-2025,1
CL0000176,C0016958,V0016958,10000,06-01-2025,1
CL0000177,C0016959,V0016959,10000,06-01-2025,1
CL0000178,C0016960,V0016960,10000,06-01-2025,1
CL0000179,C0016961,V0016961,10000,06-01-2025,1
CL0000180,C0016962,V0016962,10000,06-01-2025,1
CL0000181,C0016963,V0016963,10000,06-01-2025,1
CL0000182,C0016964,V0016964,10000,06-01-2025,1
CL0000183,C0016965,V0016965,10000,06-01-2025,1
CL0000184,C0016966,V0016966,10000,06-01-2025,1
CL0000185,C0016967,V0016967,10000,06-01-2025,1
CL0000186,C0016968,V0016968,10000,06-01-2025,1
CL0000187,C0016969,V0016969,10000,06-01-2025,1
CL0000188,C0016970,V0016970,10000,06-01-2025,1
CL0000189,C0016971,V0016971,10000,06-01-2025,1
CL0000190,C0016972,V0016972,10000,06-01-2025,1
CL0000191,C0016973,V0016973,10000,06-01-2025,1
CL0000192,C0016974,V0016974,10000,06-01-2025,1
CL0000193,C0016975,V0016975,10000,06-01-2025,1
CL0000194,C0016976,V0016976,10000,06-01-2025,1
CL0000195,C0016977,V0016977,10000,06-01-2025,1
CL0000196,C0016978,V0016978,10000,06-01-2025,1
CL0000197,C0016979,V0016979,10000,06-01-2025,1
CL0000198,C0016980,V0016980,10000,06-01-2025,1
CL0000199,C0016981,V0016981,10000,06-01-2025,1
CL0000200,C0016982,V0016982,10000,06-01-2025,1
CL0000201,C0016983,V0016983,10000,06-01-2025,1
CL0000202,C0016984,V0016984,10000,06-01-2025,1
CL0000203,C0016985,V0016985,10000,06-01-2025,1
CL0000204,C0016986,V0016986,10000,06-01-2025,1
CL0000205,C0016987,V0016987,10000,06-01-2025,1
CL0000206,C0016988,V0016988,10000,06-01-2025,1
CL0000207,C0016989,V0016989,10000,06-01-2025,1
CL0000208,C0016990,V0016990,10000,06-01-2025,1
CL0000209,C0016991,V0016991,10000,06-01-2025,1
CL0000210,C0016992,V0016992,10000,06-01-2025,1
CL0000211,C0016993,V0016993,10000,06-01-2025,1
CL0000212,C0016994,V0016994,10000,06-01-2025,1
CL0000213,C0016995,V0016995,10000,06-01-2025,1
CL0000214,C0016996,V0016996,10000,06-01-2025,1
CL0000215,C0016997,V0016997,10000,06-01-2025,1
CL0000216,C0016998,V0016998,10000,06-01-2025,1
CL0000217,C0016999,V0016999,10000,06-01-2025,1
CL0000218,C0017000,V0017000,10000,06-01-2025,1
CL0000219,C0017001,V0017001,10000,06-01-2025,1
CL0000220,C0017002,V0017002,10000,06-01-2025,1
CL0000221,C0017003,V0017003,10000,06-01-2025,1
CL0000222,C0017004,V0017004,10000,06-01-2025,1
CL0000223,C0017005,V0017005,10000,06-01-2025,1
CL0000224,C0017006,V0017006,10000,06-01-2025,1
CL0000225,C0017007,V0017007,10000,06-01-2025,1
CL0000226,C0017008,V0017008,10000,06-01-2025,1
CL0000227,C0017009,V0017009,10000,06-01-2025,1
CL0000228,C0017010,V0017010,10000,06-01-2025,1
CL0000229,C0017011,V0017011,10000,06-01-2025,1
CL0000230,C0017012,V0017012,10000,06-01-2025,1
CL0000231,C0017013,V0017013,10000,06-01-2025,1
CL0000232,C0017014,V0017014,10000,06-01-2025,1
CL0000233,C0017015,V0017015,10000,06-01-2025,1
CL0000234,C0017016,V0017016,10000,06-01-2025,1
CL0000235,C0017017,V0017017,10000,06-01-2025,1
CL0000236,C0017018,V0017018,10000,06-01-2025,1
CL0000237,C0017019,V0017019,10000,06-01-2025,1
CL0000238,C0017020,V0017020,10000,06-01-2025,1
CL0000239,C0017021,V0017021,10000,06-01-2025,1
CL0000240,C0017022,V0017022,10000,06-01-2025,1
CL0000241,C0017023,V0017023,10000,06-01-2025,1
CL0000242,C0017024,V0017024,10000,06-01-2025,1
CL0000243,C0017025,V0017025,10000,06-01-2025,1
CL0000244,C0017026,V0017026,10000,06-01-2025,1
CL0000245,C0017027,V0017027,10000,06-01-2025,1
CL0000246,C0017028,V0017028,10000,06-01-2025,1
CL0000247,C0017029,V0017029,10000,06-01-2025,1
CL0000248,C0017030,V0017030,10000,06-01-2025,1
CL0000249,C0017031,V0017031,10000,06-01-2025,1
CL0000250,C0017032,V0017032,10000,06-01-2025,1
CL0000251,C0017033,V0017033,10000,06-01-2025,1
CL0000252,C0017034,V0017034,10000,06-01-2025,1
CL0000253,C0017035,V0017035,10000,06-01-2025,1
CL0000254,C0017036,V0017036,10000,06-01-2025,1
CL0000255,C0017037,V0017037,10000,06-01-2025,1
CL0000256,C0017038,V0017038,10000,06-01-2025,1
CL0000257,C0017039,V0017039,10000,06-01-2025,1
CL0000258,C0017040,V0017040,10000,06-01-2025,1
CL0000259,C0017041,V0017041,10000,06-01-2025,1
CL0000260,C0017042,V0017042,10000,06-01-2025,1
CL0000261,C0017043,V0017043,10000,06-01-2025,1
CL0000262,C0017044,V0017044,10000,06-01-2025,1
CL0000263,C0017045,V0017045,10000,06-01-2025,1
CL0000264,C0017046,V0017046,10000,06-01-2025,1
CL0000265,C0017047,V0017047,10000,06-01-2025,1
CL0000266,C0017048,V0017048,10000,06-01-2025,1
CL0000267,C0017049,V0017049,10000,06-01-2025,1
CL0000268,C0017050,V0017050,10000,06-01-2025,1
CL0000269,C0017051,V0017051,10000,06-01-2025,1
CL0000270,C0017052,V0017052,10000,06-01-2025,1
CL0000271,C0017053,V0017053,10000,06-01-2025,1
CL0000272,C0017054,V0017054,10000,06-01-2025,1
CL0000273,C0017055,V0017055,10000,06-01-2025,1
CL0000274,C0017056,V0017056,10000,06-01-2025,1
CL0000275,C0017057,V0017057,10000,06-01-2025,1
CL0000276,C0017058,V0017058,10000,06-01-2025,1
CL0000277,C0017059,V0017059,10000,06-01-2025,1
CL0000278,C0017060,V0017060,10000,06-01-2025,1
CL0000279,C0017061,V0017061,10000,06-01-2025,1
CL0000280,C0017062,V0017062,10000,06-01-2025,1
CL0000281,C0017063,V0017063,10000,06-01-2025,1
CL0000282,C0017064,V0017064,10000,06-01-2025,1
CL0000283,C0017065,V0017065,10000,06-01-2025,1
CL0000284,C0017066,V0017066,10000,06-01-2025,1
CL0000285,C0017067,V0017067,10000,06-01-2025,1
CL0000286,C0017068,V0017068,10000,06-01-2025,1
CL0000287,C0017069,V0017069,10000,06-01-2025,1
CL0000288,C0017070,V0017070,10000,06-01-2025,1
CL0000289,C0017071,V0017071,10000,06-01-2025,1
CL0000290,C0017072,V0017072,10000,06-01-2025,1
CL0000291,C0017073,V0017073,10000,06-01-2025,1
CL0000292,C0017074,V0017074,10000,06-01-2025,1
CL0000293,C0017075,V0017075,10000,06-01-2025,1
CL0000294,C0017076,V0017076,10000,06-01-2025,1
CL0000295,C0017077,V0017077,10000,06-01-2025,1
CL0000296,C0017078,V0017078,10000,06-01-2025,1
CL0000297,C0017079,V0017079,10000,06-01-2025,1
CL0000298,C0017080,V0017080,10000,06-01-2025,1
CL0000299,C0017081,V0017081,10000,06-01-2025,1
CL0000300,C0017082,V0017082,10000,06-01-2025,1
CL0000301,C0017083,V0017083,10000,06-01-2025,1
CL0000302,C0017084,V0017084,10000,06-01-2025,1
CL0000303,C0017085,V0017085,10000,06-01-2025,1
CL0000304,C0017086,V0017086,10000,06-01-2025,1
CL0000305,C0017087,V0017087,10000,06-01-2025,1
CL0000306,C0017088,V0017088,10000,06-01-2025,1
CL0000307,C0017089,V0017089,10000,06-01-2025,1
CL0000308,C0017090,V0017090,10000,06-01-2025,1
CL0000309,C0017091,V0017091,10000,06-01-2025,1
CL0000310,C0017092,V0017092,10000,06-01-2025,1
CL0000311,C0017093,V0017093,10000,06-01-2025,1
CL0000312,C0017094,V0017094,10000,06-01-2025,1
CL0000313,C0017095,V0017095,10000,06-01-2025,1
CL0000314,C0017096,V0017096,10000,06-01-2025,1
CL0000315,C0017097,V0017097,10000,06-01-2025,1
CL0000316,C0017098,V0017098,10000,06-01-2025,1
CL0000317,C0017099,V0017099,10000,06-01-2025,1
CL0000318,C0017100,V0017100,10000,06-01-2025,1
CL0000319,C0017101,V0017101,10000,06-01-2025,1
CL0000320,C0017102,V0017102,10000,06-01-2025,1
CL0000321,C0017103,V0017103,10000,06-01-2025,1
CL0000322,C0017104,V0017104,10000,06-01-2025,1
CL0000323,C0017105,V0017105,10000,06-01-2025,1
CL0000324,C0017106,V0017106,10000,06-01-2025,1
CL0000325,C0017107,V0017107,10000,06-01-2025,1
CL0000326,C0017108,V0017108,10000,06-01-2025,1
CL0000327,C0017109,V0017109,10000,06-01-2025,1
CL0000328,C0017110,V0017110,10000,06-01-2025,1
CL0000329,C0017111,V0017111,10000,06-01-2025,1
CL0000330,C0017112,V0017112,10000,06-01-2025,1
CL0000331,C0017113,V0017113,10000,06-01-2025,1
CL0000332,C0017114,V0017114,10000,06-01-2025,1
CL0000333,C0017115,V0017115,10000,06-01-2025,1
CL0000334,C0017116,V0017116,10000,06-01-2025,1
CL0000335,C0017117,V0017117,10000,06-01-2025,1
CL0000336,C0017118,V0017118,10000,06-01-2025,1
CL0000337,C0017119,V0017119,10000,06-01-2025,1
CL0000338,C0017120,V0017120,10000,06-01-2025,1
CL0000339,C0017121,V0017121,10000,06-01-2025,1
CL0000340,C0017122,V0017122,10000,06-01-2025,1
CL0000341,C0017123,V0017123,10000,06-01-2025,1
CL0000342,C0017124,V0017124,10000,06-01-2025,1
CL0000343,C0017125,V0017125,10000,06-01-2025,1
CL0000344,C0017126,V0017126,10000,06-01-2025,1
CL0000345,C0017127,V0017127,10000,06-01-2025,1
CL0000346,C0017128,V0017128,10000,06-01-2025,1
CL0000347,C0017129,V0017129,10000,06-01-2025,1
CL0000348,C0017130,V0017130,10000,06-01-2025,1
CL0000349,C0017131,V0017131,10000,06-01-2025,1
CL0000350,C0017132,V0017132,10000,06-01-2025,1
CL0000351,C0017133,V0017133,10000,06-01-2025,1
CL0000352,C0017134,V0017134,10000,06-01-2025,1
CL0000353,C0017135,V0017135,10000,06-01-2025,1
CL0000354,C0017136,V0017136,10000,06-01-2025,1
CL0000355,C0017137,V0017137,10000,06-01-2025,1
CL0000356,C0017138,V0017138,10000,06-01-2025,1
CL0000357,C0017139,V0017139,10000,06-01-2025,1
CL0000358,C0017140,V0017140,10000,06-01-2025,1
CL0000359,C0017141,V0017141,10000,06-01-2025,1
CL0000360,C0017142,V0017142,10000,06-01-2025,1
CL0000361,C0017143,V0017143,10000,06-01-2025,1
CL0000362,C0017144,V0017144,10000,06-01-2025,1
CL0000363,C0017145,V0017145,10000,06-01-2025,1
CL0000364,C0017146,V0017146,10000,06-01-2025,1
CL0000365,C0017147,V0017147,10000,06-01-2025,1
CL0000366,C0017148,V0017148,10000,06-01-2025,1
CL0000367,C0017149,V0017149,10000,06-01-2025,1
CL0000368,C0017150,V0017150,10000,06-01-2025,1
CL0000369,C0017151,V0017151,10000,06-01-2025,1
CL0000370,C0017152,V0017152,10000,06-01-2025,1
CL0000371,C0017153,V0017153,10000,06-01-2025,1
CL0000372,C0017154,V0017154,10000,06-01-2025,1
CL0000373,C0017155,V0017155,10000,06-01-2025,1
CL0000374,C0017156,V0017156,10000,06-01-2025,1
CL0000375,C0017157,V0017157,10000,06-01-2025,1
CL0000376,C0017158,V0017158,10000,06-01-2025,1
CL0000377,C0017159,V0017159,10000,06-01-2025,1
CL0000378,C0017160,V0017160,10000,06-01-2025,1
CL0000379,C0017161,V0017161,10000,06-01-2025,1
CL0000380,C0017162,V0017162,10000,06-01-2025,1
CL0000381,C0017163,V0017163,10000,06-01-2025,1
CL0000382,C0017164,V0017164,10000,06-01-2025,1
CL0000383,C0017165,V0017165,10000,06-01-2025,1
CL0000384,C0017166,V0017166,10000,06-01-2025,1
CL0000385,C0017167,V0017167,10000,06-01-2025,1
CL0000386,C0017168,V0017168,10000,06-01-2025,1
CL0000387,C0017169,V0017169,10000,06-01-2025,1
CL0000388,C0017170,V0017170,10000,06-01-2025,1
CL0000389,C0017171,V0017171,10000,06-01-2025,1
CL0000390,C0017172,V0017172,10000,06-01-2025,1
CL0000391,C0017173,V0017173,10000,06-01-2025,1
CL0000392,C0017174,V0017174,10000,06-01-2025,1
CL0000393,C0017175,V0017175,10000,06-01-2025,1
CL0000394,C0017176,V0017176,10000,06-01-2025,1
CL0000395,C0017177,V0017177,10000,06-01-2025,1
CL0000396,C0017178,V0017178,10000,06-01-2025,1
CL0000397,C0017179,V0017179,10000,06-01-2025,1
CL0000398,C0017180,V0017180,10000,06-01-2025,1
CL0000399,C0017181,V0017181,10000,06-01-2025,1
CL0000400,C0017182,V0017182,10000,06-01-2025,1
CL0000401,C0017183,V0017183,10000,06-01-2025,1
CL0000402,C0017184,V0017184,10000,06-01-2025,1
CL0000403,C0017185,V0017185,10000,06-01-2025,1
CL0000404,C0017186,V0017186,10000,06-01-2025,1
CL0000405,C0017187,V0017187,10000,06-01-2025,1
CL0000406,C0017188,V0017188,10000,06-01-2025,1
CL0000407,C0017189,V0017189,10000,06-01-2025,1
CL0000408,C0017190,V0017190,10000,06-01-2025,1
CL0000409,C0017191,V0017191,10000,06-01-2025,1
CL0000410,C0017192,V0017192,10000,06-01-2025,1
CL0000411,C0017766,V0017766,10000,06-01-2025,1
CL0000412,C0017767,V0017767,10000,06-01-2025,1
CL0000413,C0017768,V0017768,10000,06-01-2025,1
CL0000414,C0017769,V0017769,10000,06-01-2025,1
CL0000415,C0017770,V0017770,10000,06-01-2025,1
CL0000416,C0017771,V0017771,10000,06-01-2025,1
CL0000417,C0017772,V0017772,10000,06-01-2025,1
CL0000418,C0017773,V0017773,10000,06-01-2025,1
CL0000419,C0017774,V0017774,10000,06-01-2025,1
CL0000420,C0017775,V0017775,10000,06-01-2025,1
CL0000421,C0017776,V0017776,10000,06-01-2025,1
CL0000422,C0017777,V0017777,10000,06-01-2025,1
CL0000423,C0017778,V0017778,10000,06-01-2025,1
CL0000424,C0017779,V0017779,10000,06-01-2025,1
CL0000425,C0017780,V0017780,10000,06-01-2025,1
CL0000426,C0017781,V0017781,10000,06-01-2025,1
CL0000427,C0017782,V0017782,10000,06-01-2025,1
CL0000428,C0017783,V0017783,10000,06-01-2025,1
CL0000429,C0017784,V0017784,10000,06-01-2025,1
CL0000430,C0017785,V0017785,10000,06-01-2025,1
CL0000431,C0017786,V0017786,10000,06-01-2025,1
CL0000432,C0017787,V0017787,10000,06-01-2025,1
CL0000433,C0017788,V0017788,10000,06-01-2025,1
CL0000434,C0017789,V0017789,10000,06-01-2025,1
CL0000435,C0017790,V0017790,10000,06-01-2025,1
CL0000436,C0017791,V0017791,10000,06-01-2025,1
CL0000437,C0017792,V0017792,10000,06-01-2025,1
CL0000438,C0017793,V0017793,10000,06-01-2025,1
CL0000439,C0017794,V0017794,10000,06-01-2025,1
CL0000440,C0017795,V0017795,10000,06-01-2025,1
CL0000441,C0017796,V0017796,10000,06-01-2025,1
CL0000442,C0017797,V0017797,10000,06-01-2025,1
CL0000443,C0017798,V0017798,10000,06-01-2025,1
CL0000444,C0017799,V0017799,10000,06-01-2025,1
CL0000445,C0017800,V0017800,10000,06-01-2025,1
CL0000446,C0017801,V0017801,10000,06-01-2025,1
CL0000447,C0017802,V0017802,10000,06-01-2025,1
CL0000448,C0017803,V0017803,10000,06-01-2025,1
CL0000449,C0017804,V0017804,10000,06-01-2025,1
CL0000450,C0017805,V0017805,10000,06-01-2025,1
CL0000451,C0017806,V0017806,10000,06-01-2025,1
CL0000452,C0017807,V0017807,10000,06-01-2025,1
CL0000453,C0017808,V0017808,10000,06-01-2025,1
CL0000454,C0017809,V0017809,10000,06-01-2025,1
CL0000455,C0017810,V0017810,10000,06-01-2025,1
CL0000456,C0017811,V0017811,10000,06-01-2025,1
CL0000457,C0017812,V0017812,10000,06-01-2025,1
CL0000458,C0017813,V0017813,10000,06-01-2025,1
CL0000459,C0017814,V0017814,10000,06-01-2025,1
CL0000460,C0017815,V0017815,10000,06-01-2025,1
CL0000461,C0017816,V0017816,10000,06-01-2025,1
CL0000462,C0017817,V0017817,10000,06-01-2025,1
CL0000463,C0017818,V0017818,10000,06-01-2025,1
CL0000464,C0017819,V0017819,10000,06-01-2025,1
CL0000465,C0017820,V0017820,10000,06-01-2025,1
CL0000466,C0017821,V0017821,10000,06-01-2025,1
CL0000467,C0017822,V0017822,10000,06-01-2025,1
CL0000468,C0017823,V0017823,10000,06-01-2025,1
CL0000469,C0017824,V0017824,10000,06-01-2025,1
CL0000470,C0017825,V0017825,10000,06-01-2025,1
CL0000471,C0017826,V0017826,10000,06-01-2025,1
CL0000472,C0017827,V0017827,10000,06-01-2025,1
CL0000473,C0017828,V0017828,10000,06-01-2025,1
CL0000474,C0017829,V0017829,10000,06-01-2025,1
CL0000475,C0017830,V0017830,10000,06-01-2025,1
CL0000476,C0017831,V0017831,10000,06-01-2025,1
CL0000477,C0017832,V0017832,10000,06-01-2025,1
CL0000478,C0017833,V0017833,10000,06-01-2025,1
CL0000479,C0017834,V0017834,10000,06-01-2025,1
CL0000480,C0017835,V0017835,10000,06-01-2025,1
CL0000481,C0017836,V0017836,10000,06-01-2025,1
CL0000482,C0017837,V0017837,10000,06-01-2025,1
CL0000483,C0017838,V0017838,10000,06-01-2025,1
CL0000484,C0017839,V0017839,10000,06-01-2025,1
CL0000485,C0017840,V0017840,10000,06-01-2025,1
CL0000486,C0017841,V0017841,10000,06-01-2025,1
CL0000487,C0017842,V0017842,10000,06-01-2025,1
CL0000488,C0017843,V0017843,10000,06-01-2025,1
CL0000489,C0017844,V0017844,10000,06-01-2025,1
CL0000490,C0017845,V0017845,10000,06-01-2025,1
CL0000491,C0017846,V0017846,10000,06-01-2025,1
CL0000492,C0017847,V0017847,10000,06-01-2025,1
CL0000493,C0017848,V0017848,10000,06-01-2025,1
CL0000494,C0017849,V0017849,10000,06-01-2025,1
CL0000495,C0017850,V0017850,10000,06-01-2025,1
CL0000496,C0017851,V0017851,10000,06-01-2025,1
